AF3_THETA,AF3_ALPHA,AF3_LOW_BETA,AF3_HIGH_BETA,AF3_GAMMA,T7_THETA,T7_ALPHA,T7_LOW_BETA,T7_HIGH_BETA,T7_GAMMA,Pz_THETA,Pz_ALPHA,Pz_LOW_BETA,Pz_HIGH_BETA,Pz_GAMMA,T8_THETA,T8_ALPHA,T8_LOW_BETA,T8_HIGH_BETA,T8_GAMMA,AF4_THETA,AF4_ALPHA,AF4_LOW_BETA,AF4_HIGH_BETA,AF4_GAMMA,Label
0.022273573283641282,0.06686029241378469,0.28292274116089766,0.08925592328460713,0.33774353970756116,-0.18490198598192667,0.7997729699765618,1.8836639890492184,1.1378764854200953,0.11858406117434556,-0.19016908246004224,-0.076176123574099,-0.0022700671740966973,-0.06569129445039047,0.12377883598768294,-0.09115470619894546,0.07391283082341339,0.20020610459427352,0.06724596220551744,0.7070758365481061,0.11328041481484305,0.10972846115256246,0.3935311366958384,0.17188955198880243,0.6956535256884956,3
-0.1396741549916017,-0.07330113732720862,-0.059522117994613245,-0.0896415408376087,0.08832535494811711,-0.1890183851447562,-0.15021727658439205,-0.3373223898335823,-0.3905735677085695,-0.06387603689364268,-0.002910799866618067,-0.13205379252498256,-0.11483800845695954,-0.14517567474914284,-0.14346312447735116,-0.0945304576872441,-0.06268106579852988,-0.08017217961049185,-0.03576228763017858,0.37793304603524264,-0.12607967020181118,-0.06152994779969669,-0.06060391370178187,-0.045449329155338836,0.3221496378307961,2
-0.14042224800151992,-0.03249332706513136,-0.09115572189513203,-0.014780599660332797,-0.09165043940455618,-0.17969345461079173,-0.13669394438374968,-0.4076742778279715,-0.2518495562206745,-0.08801171431421789,0.021295695643499032,-0.13347269369564302,-0.11211460703884805,-0.13405593310121458,-0.11338379117920865,-0.0942938583018436,-0.05698257279794137,-0.06622287021800503,0.041370718664070855,0.2745634707789185,-0.11728679549604552,-0.05284106857851601,-0.07533676592699184,0.049564009800776535,0.36557739509962855,2
-0.14727542859203713,-0.11002150830286717,-0.11317588661439841,-0.16412731360932875,-0.3440463203481663,-0.18284856080859704,0.23437929389011075,1.2800502068409876,0.6824533132717163,1.493390341524057,0.12484563343170442,-0.13979309013150035,-0.11750517484897408,-0.16328800403502552,-0.23836188188239063,-0.09307545693058697,-0.09742033161412356,-0.11238850017922031,-0.13993646811287705,-0.21165313799381766,-0.12472456755039428,-0.10008118105666375,-0.11290765719639596,-0.1452336665396956,-0.24941837632471767,3
-0.055194038578695745,-0.06155810014498309,-0.09010689078451255,-0.1624951361572135,-0.4377139871956103,0.049162054018608924,3.46506266673438,1.254644574720382,0.34893353423595197,-0.2836213305759109,-0.19419295675785694,-0.12248006108891638,-0.10492406252589483,-0.14718248723796643,-0.21618857660355728,-0.09758000948125292,-0.09293183826569046,-0.1157948129146841,-0.14401205898813135,-0.25293994707798245,-0.06205321847963151,-0.07009301968349115,-0.10250099281291288,-0.14659127447006956,-0.31142957900215806,1
-0.15369438026200033,-0.09131332168362608,-0.09836988234243951,-0.05837912807187914,0.4975180963517419,-0.18924503311713986,-0.10798334868103907,-0.33248854522458,-0.5990077322502412,-0.4856793083704472,-0.06807302725874528,-0.13909143641614635,-0.11882067982788039,-0.16439208277166112,-0.25191015928308935,-0.10107219824325761,-0.10093606823980981,-0.11658335349615702,-0.11726423252098156,-0.038087449128438665,-0.13176175963857872,-0.10629623878978335,-0.12867505310726296,-0.12784042541396864,0.057928381081838336,3
-0.10605500533602982,-0.1079202446013653,-0.10417443721701658,-0.14659309927593084,-0.19629713665316362,-0.18834415687614137,-0.28334634565503114,-0.46363571837835765,-0.6314476871090201,-0.5930041891317623,-0.19375430493873733,-0.1276797925018414,-0.08157759304905099,-0.12918699676497655,-0.04197619278424171,-0.09865860180471465,-0.09729342900920653,-0.10402327224717241,-0.11131230110143388,0.027872868399062254,-0.06526661596457646,-0.09718961094689202,-0.09378017207194604,-0.120263750280182,-0.00045497994903640203,2
-0.15339450624093143,-0.11957013950357975,-0.13668062751523216,-0.18178640193964343,-0.4465125628060531,-0.18059498562775617,-0.15714590308158535,-0.2807935270919154,-0.6222521093537757,-0.7218754744430124,-0.197542578738844,-0.13645503755951283,-0.1112557250286522,-0.15606730845578667,-0.24502111192950304,-0.10093751348817737,-0.10470164961799966,-0.11920731208570015,-0.14770688488369296,-0.2692723987803242,-0.13149663277314416,-0.10917988194572929,-0.13300797969290662,-0.15715056957584742,-0.3286553471734192,2
-0.13247833741249296,-0.07133453188044313,-0.04738232742214744,-0.02541264787943831,-0.13353188461944207,-0.1884722133215673,-0.035879454532141024,0.1822857536159241,-0.04377289060498248,-0.2587685659852646,0.38256185609814225,-0.025070579383949715,-0.05629047425418887,-0.09345522857979638,0.19078699634671215,-0.09943589416609165,-0.044531821823388024,-0.07039199369946737,-0.013965172839409479,-0.021117694985028586,-0.13237074651502342,-0.04887039652522709,-0.03941035684751619,0.04182597677666508,0.04047048898089046,3
-0.1490320069206383,-0.10916039643254741,-0.10995210392658451,-0.06442597287706861,0.16029322584198094,-0.18849179521529927,-0.24141245585698454,-0.40578792524800844,-0.7062702351177261,-0.5098592040807418,-0.19739390637961296,0.047873982931796566,-0.11489818980067733,-0.046583468583868554,-0.06525387184057949,-0.09003970252795485,-0.08544377507996347,-0.09915701511848825,-0.09683400069986751,-0.02291153081721931,-0.13107383555777746,-0.10802061260882746,-0.11518631735970054,-0.12952689057431882,0.0044506867784402625,1
-0.13331067300628216,-0.09489857156610462,-0.044335786043438935,0.07461404644192969,1.4340442784722571,-0.18480275332016893,-0.29378083385587367,-0.3657386392611878,-0.5524853122250306,-0.43646643768121635,-0.06097388486688501,-0.13702583537273552,-0.11756973796605018,-0.16471040892515487,-0.2549467181563154,-0.09842946617785424,-0.0879961957255941,-0.08424581142887319,-0.11655157758004711,-0.14245682570816726,-0.1306822160083618,-0.10447086241865657,-0.1118512608289813,-0.12783395564816866,0.024336351244149627,4
-0.14789370642393723,-0.0952881459870408,-0.08159117572260273,0.07651609816655297,1.6118312109753317,-0.18605547615470888,-0.07878245054564072,-0.34827409657703945,-0.5777165069769844,0.20019183492710457,-0.19664084792396688,0.07555347020341471,-0.11288322043546523,-0.056506849118727755,-0.0790317320402965,-0.09680136607396095,-0.08159736961139813,-0.09450650189375201,-0.11041761634855664,-0.03356162408728852,-0.13020800296848528,-0.09512657355361552,-0.12103754797902837,-0.09577381339209189,0.1757420430514156,3
